slug,population,pop_5yr_pct,income,ind1,ind1_pct,ind2,ind2_pct,ind3,ind3_pct,ind4,ind4_pct,ind5,ind5_pct
austin-tx,2357497,14.5,97638,Education & health care,19.7,Professional & management,18.9,Retail trade,10.4,"Arts, food & hospitality",8.3,Manufacturing,7.9
las-vegas-nv,2293764,7.1,73845,"Arts, food & hospitality",22.8,Education & health care,16.5,Professional & management,12.7,Retail trade,11.4,Construction,7.4
kansas-city-mo,2202006,4.5,81927,Education & health care,22.2,Professional & management,13.4,Retail trade,10.8,Manufacturing,9.4,"Finance, insurance & real estate",8.6
columbus-oh,2151847,4.8,79847,Education & health care,24.3,Professional & management,12.0,Retail trade,11.1,"Finance, insurance & real estate",9.2,Manufacturing,9.0
indianapolis-in,2106327,4.9,77065,Education & health care,23.0,Professional & management,12.4,Manufacturing,12.0,Retail trade,11.0,"Arts, food & hospitality",7.9
cleveland-oh,2171978,5.3,68507,Education & health care,25.1,Manufacturing,14.0,Professional & management,11.0,Retail trade,10.8,"Arts, food & hospitality",8.4
san-jose-ca,1969353,-0.6,157444,Professional & management,22.4,Education & health care,18.9,Manufacturing,16.3,Retail trade,8.2,"Arts, food & hospitality",7.2
nashville-tn,2043713,9.6,82499,Education & health care,22.5,Professional & management,12.8,Retail trade,11.0,Manufacturing,9.9,"Arts, food & hospitality",9.6
virginia-beach-va,1782590,3.5,80533,Education & health care,23.7,Professional & management,13.3,Retail trade,10.9,"Arts, food & hospitality",9.4,Manufacturing,8.8
providence-ri,1673807,3.6,85646,Education & health care,26.5,Retail trade,11.5,Professional & management,11.1,Manufacturing,10.8,"Arts, food & hospitality",8.6
jacksonville-fl,1645707,11.5,77013,Education & health care,20.5,Professional & management,13.5,Retail trade,12.1,"Finance, insurance & real estate",10.9,"Arts, food & hospitality",9.6
milwaukee-wi,1566361,-0.6,76404,Education & health care,24.7,Manufacturing,16.9,Professional & management,11.3,Retail trade,10.6,"Arts, food & hospitality",7.6
