slug,name,state,lat,lng,home_value,rent,landlord,tax_rate,growth,climate,blurb,as_of,data_month
elkhart-in,Elkhart,IN,41.600693,-85.863986,268429,1149,90,0.84,81,85,,2026-09-24,2026-08-31
johnson-city-tn,Johnson City,TN,36.265822,-82.332693,281957,1434,90,0.65,86,70,,2026-09-24,2026-08-31
yuma-az,Yuma,AZ,32.773942,-113.910905,279024,1457,85,0.63,66,75,,2026-09-24,2026-08-31
gainesville-ga,Gainesville,GA,34.317569,-83.8185,387291,1691,90,0.9,60,70,,2026-09-24,2026-08-31
jacksonville-nc,Jacksonville,NC,34.763109,-77.499469,292020,1573,85,0.8,96,65,,2026-09-24,2026-08-31
florence-sc,Florence,SC,34.153574,-79.806164,194285,1462,85,0.56,57,60,,2026-09-24,2026-08-31
hilo-hi,Hilo,HI,19.597764,-155.502443,570917,2442,50,0.27,45,60,,2026-09-24,2026-08-31
st--cloud-mn,St. Cloud,MN,45.593031,-94.488363,311652,1248,60,1.11,57,80,,2026-09-24,2026-08-31
racine-wi,Racine,WI,42.780392,-87.771599,318804,1456,70,1.61,83,85,,2026-09-24,2026-08-31
bend-or,Bend,OR,44.153837,-120.887072,663933,2223,40,0.93,8,75,,2026-09-24,2026-08-31
saginaw-mi,Saginaw,MI,43.328267,-84.05541,176680,1076,65,1.38,95,85,,2026-09-24,2026-08-31
warner-robins-ga,Warner Robins,GA,32.492806,-83.711084,254475,1517,90,0.9,93,70,,2026-09-24,2026-08-31
terre-haute-in,Terre Haute,IN,39.392389,-87.347096,170331,991,90,0.84,76,85,,2026-09-24,2026-08-31
torrington-ct,Torrington,CT,41.854809,-73.221494,428307,1930,45,1.79,93,80,,2026-09-24,2026-08-31
punta-gorda-fl,Punta Gorda,FL,26.906396,-82.003657,297279,1872,80,0.86,3,40,,2026-09-24,2026-08-31
billings-mt,Billings,MT,45.63714,-108.832361,409829,1426,80,0.74,67,80,,2026-09-24,2026-08-31
redding-ca,Redding,CA,40.760514,-122.043556,370235,1701,35,0.75,9,55,,2026-09-24,2026-08-31
kingston-ny,Kingston,NY,41.947212,-74.265458,450659,2015,30,1.64,89,80,,2026-09-24,2026-08-31
panama-city-fl,Panama City,FL,30.273241,-85.642089,344018,1745,80,0.86,32,40,,2026-09-24,2026-08-31
joplin-mo,Joplin,MO,37.092135,-94.500651,228639,1268,85,0.98,84,75,,2026-09-24,2026-08-31
dover-de,Dover,DE,39.097088,-75.502982,372929,1787,60,0.59,71,75,,2026-09-24,2026-08-31
el-centro-ca,El Centro,CA,33.040814,-115.3554,382840,1754,35,0.75,85,55,,2026-09-24,2026-08-31
jackson-tn,Jackson,TN,35.753215,-88.882692,205926,1412,90,0.65,40,70,,2026-09-24,2026-08-31
yuba-city-ca,Yuba City,CA,39.160969,-121.511833,428414,2114,35,0.75,11,55,,2026-09-24,2026-08-31
bowling-green-ky,Bowling Green,KY,37.046804,-86.397398,259405,1252,80,0.83,57,75,,2026-09-24,2026-08-31
st--george-ut,St. George,UT,37.262531,-113.4878,526381,1873,85,0.57,13,80,,2026-09-24,2026-08-31
muskegon-mi,Muskegon,MI,43.428739,-86.420908,257800,1282,65,1.38,65,85,,2026-09-24,2026-08-31
